Model auta,Karoserie,Objem kufru (l),Hlučnost (dB),Kapacita baterie (kWh),Dojezd komb. letní WLTP (km),Dojezd komb. letní EV-database (km),Cd,Cd zdroj,Tepelné čerpadlo možné (ano/ne)
Audi Q4 e-tron,SUV,520,,77,527,425,0.28,reálné,ne
Audi RS e-tron GT,Sedan,366,,97,598,525,0.24,reálné,ne
Audi e-tron,SUV,660,,"86,5",441,340,0.28,reálné,ne
BMW i3,Hatchback,260,,38,359,250,0.29,reálné,ne
BMW iX,SUV,500,,"94,8",630,470,0.25,reálné,ano
BYD ATTO 2,SUV,335,,"64,8",425,340,0.29,odhad,ano
BYD ATTO 3,SUV,440,,"60,5",420,340,0.29,reálné,ano
BYD Dolphin Surf,Hatchback,294,,"43,2",345,265,0.29,odhad,ano
BYD Seal,Sedan,400,,"82,5",570,480,0.219,reálné,ano
Citroën Berlingo,MPV,775,,50,295,235,0.33,odhad,ne
Citroën ë-C4,Hatchback,380,,"50,8",420,325,0.29,reálné,ne
Cupra Born,Hatchback,385,,58,424,360,0.272,reálné,ne
Fiat 600e,SUV,360,,"50,8",404,310,0.29,odhad,ne
Honda e,Hatchback,171,,"35,5",222,175,0.27,reálné,ne
Hyundai Inster,SUV,280,,46,370,300,0.309,reálné,ne
Hyundai Ioniq 5,SUV,531,,80,600,450,0.288,reálné,ano
Hyundai Kona,SUV,332,,"64,8",514,385,0.27,reálné,ne
JAC iEV7S,SUV,350,,55,400,,0.29,odhad,ne
Jeep Avenger,SUV,355,,"50,8",406,310,0.33,reálné,ne
Kia EV2,SUV,350,,41,308,240,0.29,reálné,ne
Kia EV2 61 kWh,SUV,350,,58,400,340,0.29,reálné,ano
Kia EV3,SUV,460,,55,600,455,0.27,reálné,ano
Kia EV6,SUV,490,,80,599,455,0.28,reálné,ano
Kia Niro,SUV,385,,"64,8",463,385,0.29,reálné,ano
Kia Soul,SUV,315,,64,452,370,0.35,reálné,ne
Leapmotor B10,SUV,380,,"56,2",380,305,0.265,reálné,ano
MG MG4,Hatchback,363,,"61,7",450,360,0.279,reálné,ne
MG Marvel R,SUV,357,,70,402,330,0.29,odhad,ne
Mini Cooper SE,Hatchback,211,,"49,2",402,330,0.3,reálné,ne
Mazda MX-30,SUV,341,,"35,5",200,165,0.34,reálné,ano
Mercedes-Benz EQA,SUV,340,,"66,5",528,395,0.28,reálné,ne
Mercedes-Benz EQE,Sedan,430,,96,654,555,0.22,reálné,ano
Nissan LEAF,Hatchback,435,,52,385,330,0.28,reálné,ne
Opel Corsa,Hatchback,267,,"50,8",406,335,0.29,reálné,ne
Opel Mokka,SUV,310,,"50,8",338,285,0.32,reálné,ne
Peugeot 2008,SUV,434,,"50,8",406,300,0.29,odhad,ne
Peugeot 208,Hatchback,267,,"50,8",406,335,0.29,reálné,ne
Polestar 2,Liftback,405,,79,620,475,0.278,reálné,ano
Renault Mégane,SUV,440,,60,470,380,0.29,reálné,ne
Renault R4,SUV,420,,52,410,315,0.29,odhad,ne
Renault ZOE,Hatchback,338,,52,395,315,0.29,odhad,ne
Seat Mii,Hatchback,251,,"32,3",260,210,0.308,reálné,ne
